Sea Surface Height relative to hydrographic zero - Nazare tide gauge (ref 856)  
LAT: 39 35.167 N    LONG:  9  4.456W  (ETRS89)
Julian Day    Y    M  D  H  M  S  SSH (m)
18120.00000  2018  1  1  0  0  0  3.07
18120.04167  2018  1  1  1  0  0  3.43
18120.08333  2018  1  1  2  0  0  3.44
18120.12500  2018  1  1  3  0  0  3.09
18120.16667  2018  1  1  4  0  0  2.47
18120.20833  2018  1  1  5  0  0  1.74
18120.25000  2018  1  1  6  0  0  1.06
18120.29167  2018  1  1  7  0  0  0.62
18120.33333  2018  1  1  8  0  0  0.54
18120.37500  2018  1  1  9  0  0  0.80
18120.41667  2018  1  1 10  0  0  1.35
18120.45833  2018  1  1 11  0  0  2.05
18120.50000  2018  1  1 12  0  0  2.76
18120.54167  2018  1  1 13  0  0  3.27
18120.58333  2018  1  1 14  0  0  3.44
18120.62500  2018  1  1 15  0  0  3.24
18120.66667  2018  1  1 16  0  0  2.71
18120.70833  2018  1  1 17  0  0  1.99
18120.75000  2018  1  1 18  0  0  1.26
18120.79167  2018  1  1 19  0  0  0.71
18120.83333  2018  1  1 20  0  0  0.50
18120.87500  2018  1  1 21  0  0  0.66
18120.91667  2018  1  1 22  0  0  1.15
18120.95833  2018  1  1 23  0  0  1.88
18121.00000  2018  1  2  0  0  0  2.63
18121.04167  2018  1  2  1  0  0  3.26
18121.08333  2018  1  2  2  0  0  3.59
18121.12500  2018  1  2  3  0  0  3.53
18121.16667  2018  1  2  4  0  0  3.10
18121.20833  2018  1  2  5  0  0  2.38
18121.25000  2018  1  2  6  0  0  1.57
18121.29167  2018  1  2  7  0  0  0.88
18121.33333  2018  1  2  8  0  0  0.46
18121.37500  2018  1  2  9  0  0  0.41
18121.41667  2018  1  2 10  0  0  0.75
18121.45833  2018  1  2 11  0  0  1.38
18121.50000  2018  1  2 12  0  0  2.15
18121.54167  2018  1  2 13  0  0  2.89
18121.58333  2018  1  2 14  0  0  3.40
18121.62500  2018  1  2 15  0  0  3.53
18121.66667  2018  1  2 16  0  0  3.26
18121.70833  2018  1  2 17  0  0  2.64
18121.75000  2018  1  2 18  0  0  1.85
18121.79167  2018  1  2 19  0  0  1.11
18121.83333  2018  1  2 20  0  0  0.59
18121.87500  2018  1  2 21  0  0  0.43
18121.91667  2018  1  2 22  0  0  0.67
18121.95833  2018  1  2 23  0  0  1.26
18122.00000  2018  1  3  0  0  0  2.04
18122.04167  2018  1  3  1  0  0  2.82
18122.08333  2018  1  3  2  0  0  3.43
18122.12500  2018  1  3  3  0  0  3.71
18122.16667  2018  1  3  4  0  0  3.58
18122.20833  2018  1  3  5  0  0  3.05
18122.25000  2018  1  3  6  0  0  2.28
18122.29167  2018  1  3  7  0  0  1.44
18122.33333  2018  1  3  8  0  0  0.74
18122.37500  2018  1  3  9  0  0  0.36
18122.41667  2018  1  3 10  0  0  0.38
18122.45833  2018  1  3 11  0  0  0.79
18122.50000  2018  1  3 12  0  0  1.47
18122.54167  2018  1  3 13  0  0  2.26
18122.58333  2018  1  3 14  0  0  2.99
18122.62500  2018  1  3 15  0  0  3.45
18122.66667  2018  1  3 16  0  0  3.53
18122.70833  2018  1  3 17  0  0  3.18
18122.75000  2018  1  3 18  0  0  2.53
18122.79167  2018  1  3 19  0  0  1.74
18122.83333  2018  1  3 20  0  0  1.02
18122.87500  2018  1  3 21  0  0  0.56
18122.91667  2018  1  3 22  0  0  0.49
18122.95833  2018  1  3 23  0  0  0.81
18123.00000  2018  1  4  0  0  0  1.44
18123.04167  2018  1  4  1  0  0  2.22
18123.08333  2018  1  4  2  0  0  2.98
18123.12500  2018  1  4  3  0  0  3.55
18123.16667  2018  1  4  4  0  0  3.75
18123.20833  2018  1  4  5  0  0  3.54
18123.25000  2018  1  4  6  0  0  2.97
18123.29167  2018  1  4  7  0  0  2.18
18123.33333  2018  1  4  8  0  0  1.37
18123.37500  2018  1  4  9  0  0  0.71
18123.41667  2018  1  4 10  0  0  0.40
18123.45833  2018  1  4 11  0  0  0.50
18123.50000  2018  1  4 12  0  0  0.94
