Sea Surface Height relative to hydrographic zero - Nazare tide gauge (ref 856)  
LAT: 39 35.167 N    LONG:  9  4.456W  (ETRS89)
Julian Day    Y    M  D  H  M  S  SSH (m)
18485.00000  2019  1  1  0  0  0  2.84
18485.04167  2019  1  1  1  0  0  2.55
18485.08333  2019  1  1  2  0  0  2.14
18485.12500  2019  1  1  3  0  0  1.73
18485.16667  2019  1  1  4  0  0  1.43
18485.20833  2019  1  1  5  0  0  1.30
18485.25000  2019  1  1  6  0  0  1.37
18485.29167  2019  1  1  7  0  0  1.63
18485.33333  2019  1  1  8  0  0  2.00
18485.37500  2019  1  1  9  0  0  2.41
18485.41667  2019  1  1 10  0  0  2.76
18485.45833  2019  1  1 11  0  0  2.95
18485.50000  2019  1  1 12  0  0  2.95
18485.54167  2019  1  1 13  0  0  2.72
18485.58333  2019  1  1 14  0  0  2.33
18485.62500  2019  1  1 15  0  0  1.89
18485.66667  2019  1  1 16  0  0  1.49
18485.70833  2019  1  1 17  0  0  1.23
18485.75000  2019  1  1 18  0  0  1.19
18485.79167  2019  1  1 19  0  0  1.37
18485.83333  2019  1  1 20  0  0  1.72
18485.87500  2019  1  1 21  0  0  2.17
18485.91667  2019  1  1 22  0  0  2.61
18485.95833  2019  1  1 23  0  0  2.92
18486.00000  2019  1  2  0  0  0  3.02
18486.04167  2019  1  2  1  0  0  2.88
18486.08333  2019  1  2  2  0  0  2.54
18486.12500  2019  1  2  3  0  0  2.10
18486.16667  2019  1  2  4  0  0  1.65
18486.20833  2019  1  2  5  0  0  1.31
18486.25000  2019  1  2  6  0  0  1.19
18486.29167  2019  1  2  7  0  0  1.28
18486.33333  2019  1  2  8  0  0  1.56
18486.37500  2019  1  2  9  0  0  1.98
18486.41667  2019  1  2 10  0  0  2.43
18486.45833  2019  1  2 11  0  0  2.82
18486.50000  2019  1  2 12  0  0  3.02
18486.54167  2019  1  2 13  0  0  2.98
18486.58333  2019  1  2 14  0  0  2.72
18486.62500  2019  1  2 15  0  0  2.30
18486.66667  2019  1  2 16  0  0  1.80
18486.70833  2019  1  2 17  0  0  1.37
18486.75000  2019  1  2 18  0  0  1.14
18486.79167  2019  1  2 19  0  0  1.13
18486.83333  2019  1  2 20  0  0  1.36
18486.87500  2019  1  2 21  0  0  1.78
18486.91667  2019  1  2 22  0  0  2.28
18486.95833  2019  1  2 23  0  0  2.76
18487.00000  2019  1  3  0  0  0  3.07
18487.04167  2019  1  3  1  0  0  3.13
18487.08333  2019  1  3  2  0  0  2.95
18487.12500  2019  1  3  3  0  0  2.56
18487.16667  2019  1  3  4  0  0  2.05
18487.20833  2019  1  3  5  0  0  1.56
18487.25000  2019  1  3  6  0  0  1.22
18487.29167  2019  1  3  7  0  0  1.10
18487.33333  2019  1  3  8  0  0  1.23
18487.37500  2019  1  3  9  0  0  1.56
18487.41667  2019  1  3 10  0  0  2.02
18487.45833  2019  1  3 11  0  0  2.51
18487.50000  2019  1  3 12  0  0  2.89
18487.54167  2019  1  3 13  0  0  3.06
18487.58333  2019  1  3 14  0  0  2.97
18487.62500  2019  1  3 15  0  0  2.65
18487.66667  2019  1  3 16  0  0  2.15
18487.70833  2019  1  3 17  0  0  1.62
18487.75000  2019  1  3 18  0  0  1.20
18487.79167  2019  1  3 19  0  0  1.00
18487.83333  2019  1  3 20  0  0  1.08
18487.87500  2019  1  3 21  0  0  1.40
18487.91667  2019  1  3 22  0  0  1.89
18487.95833  2019  1  3 23  0  0  2.44
18488.00000  2019  1  4  0  0  0  2.91
18488.04167  2019  1  4  1  0  0  3.20
18488.08333  2019  1  4  2  0  0  3.19
18488.12500  2019  1  4  3  0  0  2.90
18488.16667  2019  1  4  4  0  0  2.43
18488.20833  2019  1  4  5  0  0  1.87
18488.25000  2019  1  4  6  0  0  1.35
18488.29167  2019  1  4  7  0  0  1.03
18488.33333  2019  1  4  8  0  0  0.98
18488.37500  2019  1  4  9  0  0  1.19
18488.41667  2019  1  4 10  0  0  1.62
18488.45833  2019  1  4 11  0  0  2.15
18488.50000  2019  1  4 12  0  0  2.66
18488.54167  2019  1  4 13  0  0  3.02
18488.58333  2019  1  4 14  0  0  3.12
18488.62500  2019  1  4 15  0  0  2.93
18488.66667  2019  1  4 16  0  0  2.53
18488.70833  2019  1  4 17  0  0  1.98
18488.75000  2019  1  4 18  0  0  1.44
18488.79167  2019  1  4 19  0  0  1.06
18488.83333  2019  1  4 20  0  0  0.95
18488.87500  2019  1  4 21  0  0  1.12
18488.91667  2019  1  4 22  0  0  1.54
18488.95833  2019  1  4 23  0  0  2.10
18489.00000  2019  1  5  0  0  0  2.67
18489.04167  2019  1  5  1  0  0  3.10
18489.08333  2019  1  5  2  0  0  3.30
18489.12500  2019  1  5  3  0  0  3.19
18489.16667  2019  1  5  4  0  0  2.81
18489.20833  2019  1  5  5  0  0  2.25
18489.25000  2019  1  5  6  0  0  1.65
18489.29167  2019  1  5  7  0  0  1.18
18489.33333  2019  1  5  8  0  0  0.93
18489.37500  2019  1  5  9  0  0  0.97
18489.41667  2019  1  5 10  0  0  1.28
18489.45833  2019  1  5 11  0  0  1.77
18489.50000  2019  1  5 12  0  0  2.33
18489.54167  2019  1  5 13  0  0  2.82
18489.58333  2019  1  5 14  0  0  3.10
18489.62500  2019  1  5 15  0  0  3.10
18489.66667  2019  1  5 16  0  0  2.81
18489.70833  2019  1  5 17  0  0  2.32
18489.75000  2019  1  5 18  0  0  1.74
18489.79167  2019  1  5 19  0  0  1.23
18489.83333  2019  1  5 20  0  0  0.94
18489.87500  2019  1  5 21  0  0  0.94
18489.91667  2019  1  5 22  0  0  1.25
18489.95833  2019  1  5 23  0  0  1.75
18490.00000  2019  1  6  0  0  0  2.35
18490.04167  2019  1  6  1  0  0  2.90
18490.08333  2019  1  6  2  0  0  3.26
18490.12500  2019  1  6  3  0  0  3.35
18490.16667  2019  1  6  4  0  0  3.12
18490.20833  2019  1  6  5  0  0  2.64
18490.25000  2019  1  6  6  0  0  2.04
18490.29167  2019  1  6  7  0  0  1.44
18490.33333  2019  1  6  8  0  0  1.03
18490.37500  2019  1  6  9  0  0  0.89
18490.41667  2019  1  6 10  0  0  1.05
18490.45833  2019  1  6 11  0  0  1.47
18490.50000  2019  1  6 12  0  0  2.02
18490.54167  2019  1  6 13  0  0  2.57
18490.58333  2019  1  6 14  0  0  3.01
18490.62500  2019  1  6 15  0  0  3.19
18490.66667  2019  1  6 16  0  0  3.07
18490.70833  2019  1  6 17  0  0  2.67
18490.75000  2019  1  6 18  0  0  2.11
18490.79167  2019  1  6 19  0  0  1.54
18490.83333  2019  1  6 20  0  0  1.11
18490.87500  2019  1  6 21  0  0  0.94
18490.91667  2019  1  6 22  0  0  1.07
